NAME|REPO|BRANCH|STATUS|STARS|FORKS|LAST_COMMIT
kucat-config|sirpdboy/luci-app-kucat-config|master|❌ API ERROR (000000)|N/A|N/A|N/A
aurora|eamonxg/luci-theme-aurora|master|❌ API ERROR (000000)|N/A|N/A|N/A
uboot-nand|chenxin527/uboot-ipq60xx-nand-build|main|❌ API ERROR (000000)|N/A|N/A|N/A
easytier|EasyTier/luci-app-easytier|main|❌ API ERROR (000000)|N/A|N/A|N/A
kucat|sirpdboy/luci-theme-kucat|master|❌ API ERROR (000000)|N/A|N/A|N/A
immortalwrt-official|immortalwrt/immortalwrt|owrt|❌ API ERROR (000000)|N/A|N/A|N/A
momo|nikkinikki-org/OpenWrt-momo|main|❌ API ERROR (000000)|N/A|N/A|N/A
qbittorrent|sbwml/luci-app-qbittorrent|master|❌ API ERROR (000000)|N/A|N/A|N/A
netspeedtest|sirpdboy/luci-app-netspeedtest|main|❌ API ERROR (000000)|N/A|N/A|N/A
qmodem|FUjr/QModem|main|❌ API ERROR (000000)|N/A|N/A|N/A
ddns-go|sirpdboy/luci-app-ddns-go|main|❌ API ERROR (000000)|N/A|N/A|N/A
uboot-emmc|chenxin527/uboot-ipq60xx-emmc-build|main|❌ API ERROR (000000)|N/A|N/A|N/A
argon|sbwml/luci-theme-argon|openwrt-25.12|❌ API ERROR (000000)|N/A|N/A|N/A
passwall2|Openwrt-Passwall/openwrt-passwall2|main|❌ API ERROR (000000)|N/A|N/A|N/A
immortalwrt-viking|VIKINGYFY/immortalwrt|owrt|❌ API ERROR (000000)|N/A|N/A|N/A
homeproxy|VIKINGYFY/homeproxy|main|❌ API ERROR (000000)|N/A|N/A|N/A
fancontrol|rockjake/luci-app-fancontrol|main|❌ API ERROR (000000)|N/A|N/A|N/A
mosdns|sbwml/luci-app-mosdns|v5|❌ API ERROR (000000)|N/A|N/A|N/A
passwall|Openwrt-Passwall/openwrt-passwall|main|❌ API ERROR (000000)|N/A|N/A|N/A
nikki|nikkinikki-org/OpenWrt-nikki|main|❌ API ERROR (000000)|N/A|N/A|N/A
vnt|lmq8267/luci-app-vnt|main|❌ API ERROR (000000)|N/A|N/A|N/A
partexp|sirpdboy/luci-app-partexp|main|❌ API ERROR (000000)|N/A|N/A|N/A
openlist2|sbwml/luci-app-openlist2|main|❌ API ERROR (000000)|N/A|N/A|N/A
openclash|vernesong/OpenClash|dev|❌ API ERROR (000000)|N/A|N/A|N/A
uboot-nor|chenxin527/uboot-ipq60xx-nor-build|main|❌ API ERROR (000000)|N/A|N/A|N/A
tailscale|Tokisaki-Galaxy/luci-app-tailscale-community|master|❌ API ERROR (000000)|N/A|N/A|N/A
aurora-config|eamonxg/luci-app-aurora-config|master|❌ API ERROR (000000)|N/A|N/A|N/A
diskman|lisaac/luci-app-diskman|master|❌ API ERROR (000000)|N/A|N/A|N/A
gecoosac|laipeng668/luci-app-gecoosac|main|❌ API ERROR (000000)|N/A|N/A|N/A
viking|VIKINGYFY/packages|main|❌ API ERROR (000000)|N/A|N/A|N/A
lucky|sirpdboy/luci-app-lucky|main|❌ API ERROR (000000)|N/A|N/A|N/A
quickfile|sbwml/luci-app-quickfile|main|❌ API ERROR (000000)|N/A|N/A|N/A
